Geetham Veg Restaurant
Egg Roll,Non Veg,95
Egg Mirchi,Non Veg,100
Egg Cheese Roll,Non Veg,130
Chicken Roll Dilli Istyle,Non Veg,160

The Sandwich Shop
Veg Nuggets,Veg,150
Potato Cheese Shots,Veg,170
Veg Rolls,Veg,185
Paneer Rolls,Veg,205
Hot & Spicy Mushroom Sandwich,Veg,140
Spicy Mayo Mushroom Sandwich,Veg,140

Sigree
Tamatar Dhaniya Shorba,Veg,165
Dilliwali Tikki,Veg,285
Vegetable Seekh Kebab,Veg,425
Paneer Rawalpindi,Veg,445
Nariyal Murgh Shorb,Non Veg,185
Nazafgarh Ka Tandoori Murgh(full),Non Veg,595
Dhuandar Lal Murgh Tikka,Non Veg,475
Bonfire Smoked Fish,Non Veg,525

Chai Kings
Zafrani Chai Flask - 500 ML,Veg,250
Lemon Mojito,Veg,115
Ginger Chai Flask - 1 Litre,Veg,275
Mini Coffee Flask & Special Maggi,Veg,185
Zafrani Chai Flask - 500 ML,Veg,250
Mini Chai Flask & 2 Mushroom Roll,Veg,,189
Mini Chai Flask & Classic Maggi,Veg,140
Chai Flask & 3 Walnut Banana Bread,Non Veg,315

Cake Works
Choco Chip Truffle Cake 1kg,Veg,534
Butterscotch Cake 1kg,Veg,528
Choco Chip Truffle Cake 1kg,Veg,534
Butterscotch Cake 1kg,Veg,528
Fresh chocolate Cake (1 kg),Non Veg,522
Black Forest Cake 1kg,Non Veg,528
Choco Almond Cake 1kg,Non Veg,540
Cake Works Special Truffle Cake 1kg,Non Veg,594
